label,message,length,processed_msg
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,"['im', 'gonna', 'home', 'soon', 'dont', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'ive', 'cri', 'enough', 'today']"
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,"['six', 'chanc', 'win', 'cash', '100', '20000', 'pound', 'txt', 'csh11', 'send', '87575', 'cost', '150pday', '6day', '16', 'tsandc', 'appli', 'repli', 'hl', '4', 'info']"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,"['urgent', '1', 'week', 'free', 'membership', '£100000', 'prize', 'jackpot', 'txt', 'word', 'claim', '81010', 'tc', 'wwwdbuknet', 'lccltd', 'pobox', '4403ldnw1a7rw18']"
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,"['ive', 'search', 'right', 'word', 'thank', 'breather', 'promis', 'wont', 'take', 'help', 'grant', 'fulfil', 'promis', 'wonder', 'bless', 'time']"
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,35,"['date', 'sunday']"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,"['xxxmobilemovieclub', 'use', 'credit', 'click', 'wap', 'link', 'next', 'txt', 'messag', 'click', 'httpwap', 'xxxmobilemovieclubcomnqjkgighjjgcbl']"
ham,Oh k...i'm watching here:),26,"['oh', 'kim', 'watch']"
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,"['eh', 'u', 'rememb', '2', 'spell', 'name', 'yes', 'v', 'naughti', 'make', 'v', 'wet']"
ham,Fine if thats the way u feel. Thats the way its gota b,56,"['fine', 'that\x92', 'way', 'u', 'feel', 'that\x92', 'way', 'gota', 'b']"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",155,"['england', 'v', 'macedonia', 'dont', 'miss', 'goalsteam', 'news', 'txt', 'ur', 'nation', 'team', '87077', 'eg', 'england', '87077', 'trywal', 'scotland', '4txtú120', 'poboxox36504w45wq', '16']"
ham,Is that seriously how you spell his name?,41,"['serious', 'spell', 'name']"
ham,I‘m going to try for 2 months ha ha only joking,47,"[""i'm"", 'go', 'tri', '2', 'month', 'ha', 'ha', 'onli', 'joke']"
ham,So ü pay first lar... Then when is da stock comin...,52,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']"
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,"['aft', 'finish', 'lunch', 'go', 'str', 'lor', 'ard', '3', 'smth', 'lor', 'u', 'finish', 'ur', 'lunch', 'alreadi']"
ham,Ffffffffff. Alright no way I can meet up with you sooner?,57,"['ffffffffff', 'alright', 'way', 'meet', 'sooner']"
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,"['forc', 'eat', 'slice', 'im', 'realli', 'hungri', 'tho', 'suck', 'mark', 'get', 'worri', 'know', 'im', 'sick', 'turn', 'pizza', 'lol']"
ham,Lol your always so convincing.,30,"['lol', 'alway', 'convinc']"
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,"['catch', 'bus', 'fri', 'egg', 'make', 'tea', 'eat', 'mom', 'left', 'dinner', 'feel', 'love']"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,"['im', 'back', 'amp', 'pack', 'car', 'ill', 'let', 'know', 'room']"
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,"['ahhh', 'work', 'vagu', 'rememb', 'doe', 'feel', 'like', 'lol']"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,"['wait', 'still', 'clear', 'sure', 'sarcast', 'whi', 'x', 'doesnt', 'want', 'live', 'us']"
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,"['yeah', 'got', '2', 'v', 'apologet', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'till', '2', 'wont', 'go', 'bad', 'cheer']"
ham,K tell me anything about you.,29,"['k', 'tell', 'anyth']"
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,84,"['fear', 'faint', 'housework', 'quick', 'cuppa']"
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,158,"['thank', 'subscript', 'rington', 'uk', 'mobil', 'charg', '£5month', 'pleas', 'confirm', 'repli', 'yes', 'repli', 'charg']"
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,122,"['yup', 'ok', 'go', 'home', 'look', 'time', 'msg', 'ü', 'xuhui', 'go', 'learn', '2nd', 'may', 'lesson', '8am']"
ham,"Oops, I'll let you know when my roommate's done",47,"['oop', 'ill', 'let', 'know', 'roommat', 'done']"
ham,I see the letter B on my car,28,"['see', 'letter', 'b', 'car']"
ham,Anything lor... U decide...,27,"['anyth', 'lor', 'u', 'decid']"
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,155,"['hello', 'saturday', 'go', 'text', 'see', 'youd', 'decid', 'anyth', 'tomo', 'im', 'tri', 'invit', 'anyth']"
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,82,"['pls', 'go', 'ahead', 'watt', 'want', 'sure', 'great', 'weekend', 'abiola']"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",142,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'arabian', 'steed', 'mmmmmm', 'yummi']"
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,172,"['07732584351', 'rodger', 'burn', 'msg', 'tri', 'call', 'repli', 'sms', 'free', 'nokia', 'mobil', 'free', 'camcord', 'pleas', 'call', '08000930705', 'deliveri', 'tomorrow']"
ham,WHO ARE YOU SEEING?,19,['see']
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,72,"['great', 'hope', 'like', 'man', 'well', 'endow', 'ltgt', 'inch']"
ham,No calls..messages..missed calls,32,"['callsmessagesmiss', 'call']"
ham,Didn't you get hep b immunisation in nigeria.,45,"['didnt', 'get', 'hep', 'b', 'immunis', 'nigeria']"
ham,"Fair enough, anything going on?",31,"['fair', 'enough', 'anyth', 'go']"
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",67,"['yeah', 'hope', 'tyler', 'cant', 'could', 'mayb', 'ask', 'around', 'bit']"
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,148,"['u', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospit', 'kept', 'tell', 'mark', 'im', 'weak', 'sucker', 'hospit', 'weak', 'sucker']"
ham,What you thinked about me. First time you saw me in class.,58,"['think', 'first', 'time', 'saw', 'class']"
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",124,"['gram', 'usual', 'run', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'get', 'almost', 'whole', 'second', 'gram', 'ltgt']"
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,80,"['k', 'fyi', 'x', 'ride', 'earli', 'tomorrow', 'morn', 'hes', 'crash', 'place', 'tonight']"
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,"['wow', 'never', 'realiz', 'embarass', 'accomod', 'thought', 'like', 'sinc', 'best', 'could', 'alway', 'seem', 'happi', 'cave', 'im', 'sorri', 'didnt', 'dont', 'give', 'im', 'sorri', 'offer', 'im', 'sorri', 'room', 'embarass']"
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,"['sms', 'ac', 'sptv', 'new', 'jersey', 'devil', 'detroit', 'red', 'wing', 'play', 'ice', 'hockey', 'correct', 'incorrect', 'end', 'repli', 'end', 'sptv']"
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,76,"['know', 'mallika', 'sherawat', 'yesterday', 'find', 'lturlgt']"
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",161,"['congrat', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'c', 'suprman', 'v', 'matrix3', 'starwars3', 'etc', '4', 'free', 'bx420ip45w', '150pm', 'dont', 'miss']"
ham,"Sorry, I'll call later in meeting.",34,"['sorri', 'ill', 'call', 'later', 'meet']"
ham,Tell where you reached,22,"['tell', 'reach']"
ham,Yes..gauti and sehwag out of odi series.,40,"['yesgauti', 'sehwag', 'odi', 'seri']"
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,108,"['gonna', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'pain', 'kill']"
ham,Ha ha ha good joke. Girls are situation seekers.,48,"['ha', 'ha', 'ha', 'good', 'joke', 'girl', 'situat', 'seeker']"
ham,Its a part of checking IQ,25,"['part', 'check', 'iq']"
ham,"Sorry my roommates took forever, it ok if I come by now?",56,"['sorri', 'roommat', 'took', 'forev', 'ok', 'come']"
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,110,"['ok', 'lar', 'doubl', 'check', 'wif', 'da', 'hair', 'dresser', 'alreadi', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",152,"['valu', 'custom', 'pleas', 'advis', 'follow', 'recent', 'review', 'mob', 'award', '£1500', 'bonus', 'prize', 'call', '09066364589']"
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",122,"['today', 'song', 'dedic', 'day', 'song', 'u', 'dedic', 'send', 'ur', 'valuabl', 'frnds', 'first', 'rpli']"
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",159,"['urgent', 'ur', 'award', 'complimentari', 'trip', 'eurodisinc', 'trav', 'acoentry41', '£1000', 'claim', 'txt', 'dis', '87121', '186£150morefrmmob', 'shracomorsglsuplt10', 'ls1', '3aj']"
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",78,"['hear', 'new', 'divorc', 'barbi', 'come', 'ken', 'stuff']"
ham,I plane to give on this month end.,34,"['plane', 'give', 'month', 'end']"
ham,Wah lucky man... Then can save money... Hee...,46,"['wah', 'lucki', 'man', 'save', 'money', 'hee']"
ham,Finished class where are you.,29,"['finish', 'class']"
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,45,"['hi', 'babe', 'im', 'home', 'wanna', 'someth', 'xx']"
ham,K..k:)where are you?how did you performed?,42,"['kkwhere', 'youhow', 'perform']"
ham,U can call me now...,20,"['u', 'call']"
ham,I am waiting machan. Call me once you free.,43,"['wait', 'machan', 'call', 'onc', 'free']"
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,73,"['cool', 'gentleman', 'treat', 'digniti', 'respect']"
ham,I like you peoples very much:) but am very shy pa.,50,"['like', 'peopl', 'veri', 'much', 'veri', 'shi', 'pa']"
ham,Does not operate after  &lt;#&gt;  or what,42,"['doe', 'oper', 'ltgt']"
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,76,"['still', 'look', 'job', 'much', 'tas', 'earn']"
ham,"Sorry, I'll call later",22,"['sorri', 'ill', 'call', 'later']"
ham,K. Did you call me just now ah? ,32,"['k', 'call', 'ah']"
ham,Ok i am on the way to home hi hi,32,"['ok', 'way', 'home', 'hi', 'hi']"
ham,You will be in the place of that man,36,"['place', 'man']"
ham,Yup next stop.,14,"['yup', 'next', 'stop']"
ham,"I call you later, don't have network. If urgnt, sms me.",55,"['call', 'later', 'dont', 'network', 'urgnt', 'sms']"
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,121,"['real', 'u', 'get', 'yo', 'onli', 'need', '2', 'ticket', 'one', 'jacket', 'im', 'done', 'alreadi', 'use', 'multi']"
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,144,"['yes', 'start', 'send', 'request', 'make', 'pain', 'came', 'back', 'im', 'back', 'bed', 'doubl', 'coin', 'factori', 'gotta', 'cash', 'nitro']"
ham,I'm really not up to it still tonight babe,42,"['im', 'realli', 'still', 'tonight', 'babe']"
ham,"Ela kano.,il download, come wen ur free..",41,"['ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']"
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,58,"['yeah', 'stand', 'close', 'tho', 'catch', 'someth']"
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,195,"['sorri', 'pain', 'ok', 'meet', 'anoth', 'night', 'spent', 'late', 'afternoon', 'casualti', 'mean', 'havent', 'done', 'ani', 'stuff42moro', 'includ', 'time', 'sheet', 'sorri']"
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,141,"['smile', 'pleasur', 'smile', 'pain', 'smile', 'troubl', 'pour', 'like', 'rain', 'smile', 'sum1', 'hurt', 'u', 'smile', 'becoz', 'someon', 'still', 'love', 'see', 'u', 'smile']"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,"['pleas', 'call', 'custom', 'servic', 'repres', '0800', '169', '6031', '10am9pm', 'guarante', '£1000', 'cash', '£5000', 'prize']"
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,107,"['havent', 'plan', 'buy', 'later', 'check', 'alreadi', 'lido', 'onli', 'got', '530', 'show', 'e', 'afternoon', 'u', 'finish', 'work', 'alreadi']"
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,"['free', 'rington', 'wait', 'collect', 'simpli', 'text', 'password', 'mix', '85069', 'verifi', 'get', 'usher', 'britney', 'fml', 'po', 'box', '5249', 'mk17', '92h', '450ppw', '16']"
ham,Watching telugu movie..wat abt u?,33,"['watch', 'telugu', 'moviewat', 'abt', 'u']"
ham,i see. When we finish we have loads of loans to pay,51,"['see', 'finish', 'load', 'loan', 'pay']"
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",178,"['hi', 'wk', 'ok', 'hol', 'yes', 'bit', 'run', 'forgot', 'hairdress', 'appoint', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'doe', 'caus', 'prob', 'u']"
ham,I see a cup of coffee animation,31,"['see', 'cup', 'coffe', 'anim']"
ham,Please don't text me anymore. I have nothing else to say.,57,"['pleas', 'dont', 'text', 'anymor', 'noth', 'els', 'say']"
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,81,"['okay', 'name', 'ur', 'price', 'long', 'legal', 'wen', 'pick', 'u', 'ave', 'x', 'xx']"
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,76,"['im', 'still', 'look', 'car', 'buy', 'gone', '4the', 'drive', 'test', 'yet']"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,"['per', 'request', 'mell', 'mell', 'oru', 'minnaminungint', 'nurungu', 'vettam', 'set', 'callertun', 'caller', 'press', '9', 'copi', 'friend', 'callertun']"
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",183,"['wow', 'right', 'didnt', 'mean', 'guess', 'onc', 'gave', 'boston', 'men', 'chang', 'search', 'locat', 'nyc', 'someth', 'chang', 'cuz', 'signin', 'page', 'still', 'say', 'boston']"
ham,Umma my life and vava umma love you lot dear,44,"['umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']"
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,95,"['thank', 'lot', 'wish', 'birthday', 'thank', 'make', 'birthday', 'truli', 'memor']"
ham,"Aight, I'll hit you up when I get some cash",43,"['aight', 'ill', 'hit', 'get', 'cash']"
ham,How would my ip address test that considering my computer isn't a minecraft server,82,"['would', 'ip', 'address', 'test', 'consid', 'comput', 'isnt', 'minecraft', 'server']"
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,115,"['know', 'grumpi', 'old', 'peopl', 'mom', 'like', 'better', 'lie', 'alway', 'one', 'play', 'joke']"
ham,Dont worry. I guess he's busy.,30,"['dont', 'worri', 'guess', 'hes', 'busi']"
ham,What is the plural of the noun research?,40,"['plural', 'noun', 'research']"
ham,Going for dinner.msg you after.,31,"['go', 'dinnermsg']"
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,96,"['im', 'ok', 'wif', 'cos', 'like', '2', 'tri', 'new', 'thing', 'scare', 'u', 'dun', 'like', 'mah', 'cos', 'u', 'said', 'loud']"
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,"['gent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', '£1000', 'prize', 'guarante', 'call', '09064012160', 'claim', 'code', 'k52', 'valid', '12hrs', 'onli', '150ppm']"
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",143,"['wa', 'ur', 'openin', 'sentenc', 'veri', 'formal', 'anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weighthaha', 'anythin', 'special', 'happen']"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",156,"['enter', 'cabin', 'pa', 'said', 'happi', 'bday', 'boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invit', 'apart', 'went']"
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,152,"['winner', 'u', 'special', 'select', '2', 'receiv', '£1000', '4', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', '2', 'claim', '0871277810910pmin', '18']"
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,72,"['goodo', 'yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'need']"
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,86,"['hmmmi', 'uncl', 'inform', 'hes', 'pay', 'school', 'direct', 'pls', 'buy', 'food']"
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,144,"['privat', '2004', 'account', 'statement', '07742676969', 'show', '786', 'unredeem', 'bonus', 'point', 'claim', 'call', '08719180248', 'identifi', 'code', '45239', 'expir']"
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",156,"['urgent', 'mobil', 'award', '£2000', 'bonus', 'caller', 'prize', '5903', 'final', 'tri', 'contact', 'u', 'call', 'landlin', '09064019788', 'box42wr29c', '150ppm']"
ham,here is my new address -apples&pairs&all that malarky,53,"['new', 'address', 'applespairsal', 'malarki']"
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,156,"['today', 'voda', 'number', 'end', '7548', 'select', 'receiv', '350', 'award', 'match', 'pleas', 'call', '08712300220', 'quot', 'claim', 'code', '4041', 'standard', 'rate', 'app']"
ham,I am going to sao mu today. Will be done only at 12 ,52,"['go', 'sao', 'mu', 'today', 'done', 'onli', '12']"
ham,Ü predict wat time ü'll finish buying?,38,"['ü', 'predict', 'wat', 'time', 'üll', 'finish', 'buy']"
ham,"Good stuff, will do.",20,"['good', 'stuff']"
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",244,"['knowyetund', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'send', 'dont', 'involv', 'anyth', 'shouldnt', 'impos', 'anyth', 'first', 'place', 'apologis']"
ham,Are you there in room.,22,['room']
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,107,"['hey', 'girl', 'r', 'u', 'hope', 'u', 'r', 'well', 'del', 'r', 'bak', 'long', 'time', 'c', 'give', 'call', 'sum', 'time', 'lucyxx']"
ham,K..k:)how much does it cost?,28,"['kkhow', 'much', 'doe', 'cost']"
ham,I'm home.,9,"['im', 'home']"
ham,"Dear, will call Tmorrow.pls accomodate.",39,"['dear', 'call', 'tmorrowpl', 'accomod']"
ham,First answer my question.,25,"['first', 'answer', 'question']"
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,125,"['sunshin', 'quiz', 'wkli', 'q', 'win', 'top', 'soni', 'dvd', 'player', 'u', 'know', 'countri', 'algarv', 'txt', 'ansr', '82277', '£150', 'sptyron']"
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,162,"['want', '2', 'get', 'laid', 'tonight', 'want', 'real', 'dog', 'locat', 'sent', 'direct', '2', 'ur', 'mob', 'join', 'uk', 'largest', 'dog', 'network', 'bt', 'txting', 'gravel', '69888', 'nt', 'ec2a', '31pmsg150p']"
ham,I only haf msn. It's yijue@hotmail.com,38,"['onli', 'haf', 'msn', 'yijuehotmailcom']"
ham,He is there. You call and meet him,34,"['call', 'meet']"
ham,No no. I will check all rooms befor activities,46,"['check', 'room', 'befor', 'activ']"
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,"['youll', 'rcv', 'ani', 'msgs', 'chat', 'svc', 'free', 'hardcor', 'servic', 'text', 'go', '69988', 'u', 'get', 'noth', 'u', 'must', 'age', 'verifi', 'yr', 'network', 'tri']"
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,85,"['got', 'c', 'lazi', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']"
ham,"K, text me when you're on the way",33,"['k', 'text', 'way']"
ham,"Sir, Waiting for your mail.",27,"['sir', 'wait', 'mail']"
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",156,"['swt', 'thought', 'nver', 'get', 'tire', 'littl', 'thing', '4', 'lovabl', 'person', 'cozsomtim', 'littl', 'thing', 'occupi', 'biggest', 'part', 'heart', 'gud', 'ni8']"
ham,I know you are. Can you pls open the back?,42,"['know', 'pls', 'open', 'back']"
ham,Yes see ya not on the dot,25,"['yes', 'see', 'ya', 'dot']"
ham,Whats the staff name who is taking class for us?,48,"['staff', 'name', 'take', 'class', 'us']"
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",159,"['freemsg', 'whi', 'havent', 'repli', 'text', 'im', 'randi', 'sexi', 'femal', 'live', 'local', 'luv', 'hear', 'u', 'netcollex', 'ltd', '08700621170150p', 'per', 'msg', 'repli', 'stop', 'end']"
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,84,"['ummmawil', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'veri', 'hard']"
ham,K..i deleted my contact that why?,33,"['ki', 'delet', 'contact', 'whi']"
