label,message,length
ham,"['Eh', 'u', 'remember', '2', 'spell', 'name', 'Yes', 'v', 'naughty', 'make', 'v', 'wet']",81
ham,"['Fine', 'that\x92s', 'way', 'u', 'feel', 'That\x92s', 'way', 'gota', 'b']",56
spam,"['England', 'v', 'Macedonia', 'dont', 'miss', 'goalsteam', 'news', 'Txt', 'ur', 'national', 'team', '87077', 'eg', 'ENGLAND', '87077', 'TryWALES', 'SCOTLAND', '4txtú120', 'POBOXox36504W45WQ', '16']",155
ham,"['seriously', 'spell', 'name']",41
ham,"['I‘m', 'going', 'try', '2', 'months', 'ha', 'ha', 'joking']",47
ham,"['ü', 'pay', 'first', 'lar', 'da', 'stock', 'comin']",52
ham,"['Aft', 'finish', 'lunch', 'go', 'str', 'lor', 'Ard', '3', 'smth', 'lor', 'U', 'finish', 'ur', 'lunch', 'already']",88
ham,"['Ffffffffff', 'Alright', 'way', 'meet', 'sooner']",57
ham,"['forced', 'eat', 'slice', 'Im', 'really', 'hungry', 'tho', 'sucks', 'Mark', 'getting', 'worried', 'knows', 'Im', 'sick', 'turn', 'pizza', 'Lol']",144
ham,"['Lol', 'always', 'convincing']",30
ham,"['catch', 'bus', 'frying', 'egg', 'make', 'tea', 'eating', 'moms', 'left', 'dinner', 'feel', 'Love']",134
ham,"['Im', 'back', 'amp', 'packing', 'car', 'Ill', 'let', 'know', 'theres', 'room']",75
ham,"['Ahhh', 'Work', 'vaguely', 'remember', 'feel', 'like', 'Lol']",64
ham,"['Wait', 'thats', 'still', 'clear', 'sure', 'sarcastic', 'thats', 'x', 'doesnt', 'want', 'live', 'us']",130
ham,"['Yeah', 'got', '2', 'v', 'apologetic', 'n', 'fallen', 'actin', 'like', 'spoilt', 'child', 'got', 'caught', 'Till', '2', 'wont', 'go', 'badly', 'cheers']",189
ham,"['K', 'tell', 'anything']",29
ham,"['fear', 'fainting', 'housework', 'Quick', 'cuppa']",84
spam,"['Thanks', 'subscription', 'Ringtone', 'UK', 'mobile', 'charged', '£5month', 'Please', 'confirm', 'replying', 'YES', 'reply', 'charged']",158
ham,"['Yup', 'Ok', 'go', 'home', 'look', 'timings', 'msg', 'ü', 'Xuhui', 'going', 'learn', '2nd', 'may', 'lesson', '8am']",122
ham,"['Oops', 'Ill', 'let', 'know', 'roommates', 'done']",47
ham,"['see', 'letter', 'B', 'car']",28
ham,"['Anything', 'lor', 'U', 'decide']",27
ham,"['Hello', 'Hows', 'saturday', 'go', 'texting', 'see', 'youd', 'decided', 'anything', 'tomo', 'im', 'trying', 'invite', 'anything']",155
ham,"['Pls', 'go', 'ahead', 'watts', 'wanted', 'sure', 'great', 'weekend', 'Abiola']",82
ham,"['forget', 'tell', 'want', 'need', 'crave', 'love', 'sweet', 'Arabian', 'steed', 'Mmmmmm', 'Yummy']",142
spam,"['07732584351', 'Rodger', 'Burns', 'MSG', 'tried', 'call', 'reply', 'sms', 'free', 'nokia', 'mobile', 'free', 'camcorder', 'Please', 'call', '08000930705', 'delivery', 'tomorrow']",172
ham,['SEEING'],19
ham,"['Great', 'hope', 'like', 'man', 'well', 'endowed', 'ltgt', 'inches']",72
ham,"['callsmessagesmissed', 'calls']",32
ham,"['Didnt', 'get', 'hep', 'b', 'immunisation', 'nigeria']",45
ham,"['Fair', 'enough', 'anything', 'going']",31
ham,"['Yeah', 'hopefully', 'tyler', 'cant', 'could', 'maybe', 'ask', 'around', 'bit']",67
ham,"['U', 'dont', 'know', 'stubborn', 'didnt', 'even', 'want', 'go', 'hospital', 'kept', 'telling', 'Mark', 'Im', 'weak', 'sucker', 'Hospitals', 'weak', 'suckers']",148
ham,"['thinked', 'First', 'time', 'saw', 'class']",58
ham,"['gram', 'usually', 'runs', 'like', 'ltgt', 'half', 'eighth', 'smarter', 'though', 'gets', 'almost', 'whole', 'second', 'gram', 'ltgt']",124
ham,"['K', 'fyi', 'x', 'ride', 'early', 'tomorrow', 'morning', 'hes', 'crashing', 'place', 'tonight']",80
ham,"['Wow', 'never', 'realized', 'embarassed', 'accomodations', 'thought', 'liked', 'since', 'best', 'could', 'always', 'seemed', 'happy', 'cave', 'Im', 'sorry', 'didnt', 'dont', 'give', 'Im', 'sorry', 'offered', 'Im', 'sorry', 'room', 'embarassing']",289
spam,"['SMS', 'ac', 'Sptv', 'New', 'Jersey', 'Devils', 'Detroit', 'Red', 'Wings', 'play', 'Ice', 'Hockey', 'Correct', 'Incorrect', 'End', 'Reply', 'END', 'SPTV']",120
ham,"['know', 'Mallika', 'Sherawat', 'yesterday', 'Find', 'ltURLgt']",76
spam,"['Congrats', '1', 'year', 'special', 'cinema', 'pass', '2', 'call', '09061209465', 'C', 'Suprman', 'V', 'Matrix3', 'StarWars3', 'etc', '4', 'FREE', 'bx420ip45we', '150pm', 'Dont', 'miss']",161
ham,"['Sorry', 'Ill', 'call', 'later', 'meeting']",34
ham,"['Tell', 'reached']",22
ham,"['Yesgauti', 'sehwag', 'odi', 'series']",40
ham,"['gonna', 'pick', '1', 'burger', 'way', 'home', 'cant', 'even', 'move', 'Pain', 'killing']",108
ham,"['Ha', 'ha', 'ha', 'good', 'joke', 'Girls', 'situation', 'seekers']",48
ham,"['part', 'checking', 'IQ']",25
ham,"['Sorry', 'roommates', 'took', 'forever', 'ok', 'come']",56
ham,"['Ok', 'lar', 'double', 'check', 'wif', 'da', 'hair', 'dresser', 'already', 'said', 'wun', 'cut', 'v', 'short', 'said', 'cut', 'look', 'nice']",110
spam,"['valued', 'customer', 'pleased', 'advise', 'following', 'recent', 'review', 'Mob', 'awarded', '£1500', 'Bonus', 'Prize', 'call', '09066364589']",152
ham,"['Today', 'song', 'dedicated', 'day', 'song', 'u', 'dedicate', 'Send', 'ur', 'valuable', 'frnds', 'first', 'rply']",122
spam,"['Urgent', 'UR', 'awarded', 'complimentary', 'trip', 'EuroDisinc', 'Trav', 'AcoEntry41', '£1000', 'claim', 'txt', 'DIS', '87121', '186£150moreFrmMob', 'ShrAcomOrSglSuplt10', 'LS1', '3AJ']",159
spam,"['hear', 'new', 'Divorce', 'Barbie', 'comes', 'Kens', 'stuff']",78
ham,"['plane', 'give', 'month', 'end']",34
ham,"['Wah', 'lucky', 'man', 'save', 'money', 'Hee']",46
ham,"['Finished', 'class']",29
ham,"['HI', 'BABE', 'IM', 'HOME', 'WANNA', 'SOMETHING', 'XX']",45
ham,"['Kkwhere', 'youhow', 'performed']",42
ham,"['U', 'call']",20
ham,"['waiting', 'machan', 'Call', 'free']",43
ham,"['Thats', 'cool', 'gentleman', 'treat', 'dignity', 'respect']",73
ham,"['like', 'peoples', 'much', 'shy', 'pa']",50
ham,"['operate', 'ltgt']",42
ham,"['Still', 'looking', 'job', 'much', 'Tas', 'earn']",76
ham,"['Sorry', 'Ill', 'call', 'later']",22
ham,"['K', 'call', 'ah']",32
ham,"['Ok', 'way', 'home', 'hi', 'hi']",32
ham,"['place', 'man']",36
ham,"['Yup', 'next', 'stop']",14
ham,"['call', 'later', 'dont', 'network', 'urgnt', 'sms']",55
ham,"['real', 'u', 'getting', 'yo', 'need', '2', 'tickets', 'one', 'jacket', 'Im', 'done', 'already', 'used', 'multis']",121
ham,"['Yes', 'started', 'send', 'requests', 'make', 'pain', 'came', 'back', 'Im', 'back', 'bed', 'Double', 'coins', 'factory', 'gotta', 'cash', 'nitros']",144
ham,"['Im', 'really', 'still', 'tonight', 'babe']",42
ham,"['Ela', 'kanoil', 'download', 'come', 'wen', 'ur', 'free']",41
ham,"['Yeah', 'Don‘t', 'stand', 'close', 'tho', 'you‘ll', 'catch', 'something']",58
ham,"['Sorry', 'pain', 'ok', 'meet', 'another', 'night', 'spent', 'late', 'afternoon', 'casualty', 'means', 'havent', 'done', 'stuff42moro', 'includes', 'time', 'sheets', 'Sorry']",195
ham,"['Smile', 'Pleasure', 'Smile', 'Pain', 'Smile', 'trouble', 'pours', 'like', 'Rain', 'Smile', 'sum1', 'Hurts', 'U', 'Smile', 'becoz', 'SOMEONE', 'still', 'Loves', 'see', 'u', 'Smiling']",141
spam,"['Please', 'call', 'customer', 'service', 'representative', '0800', '169', '6031', '10am9pm', 'guaranteed', '£1000', 'cash', '£5000', 'prize']",137
ham,"['Havent', 'planning', 'buy', 'later', 'check', 'already', 'lido', 'got', '530', 'show', 'e', 'afternoon', 'U', 'finish', 'work', 'already']",107
spam,"['free', 'ringtone', 'waiting', 'collected', 'Simply', 'text', 'password', 'MIX', '85069', 'verify', 'Get', 'Usher', 'Britney', 'FML', 'PO', 'Box', '5249', 'MK17', '92H', '450Ppw', '16']",158
ham,"['Watching', 'telugu', 'moviewat', 'abt', 'u']",33
ham,"['see', 'finish', 'loads', 'loans', 'pay']",51
ham,"['Hi', 'Wk', 'ok', 'hols', 'Yes', 'bit', 'run', 'Forgot', 'hairdressers', 'appointment', 'four', 'need', 'get', 'home', 'n', 'shower', 'beforehand', 'cause', 'prob', 'u']",178
ham,"['see', 'cup', 'coffee', 'animation']",31
ham,"['Please', 'dont', 'text', 'anymore', 'nothing', 'else', 'say']",57
ham,"['Okay', 'name', 'ur', 'price', 'long', 'legal', 'Wen', 'pick', 'u', 'ave', 'x', 'ams', 'xx']",81
ham,"['Im', 'still', 'looking', 'car', 'buy', 'gone', '4the', 'driving', 'test', 'yet']",76
ham,"['per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']",160
ham,"['wow', 'Youre', 'right', 'didnt', 'mean', 'guess', 'gave', 'boston', 'men', 'changed', 'search', 'location', 'nyc', 'something', 'changed', 'Cuz', 'signin', 'page', 'still', 'says', 'boston']",183
ham,"['Umma', 'life', 'vava', 'umma', 'love', 'lot', 'dear']",44
ham,"['Thanks', 'lot', 'wishes', 'birthday', 'Thanks', 'making', 'birthday', 'truly', 'memorable']",95
ham,"['Aight', 'Ill', 'hit', 'get', 'cash']",43
ham,"['would', 'ip', 'address', 'test', 'considering', 'computer', 'isnt', 'minecraft', 'server']",82
ham,"['know', 'Grumpy', 'old', 'people', 'mom', 'like', 'better', 'lying', 'always', 'one', 'play', 'jokes']",115
ham,"['Dont', 'worry', 'guess', 'hes', 'busy']",30
ham,"['plural', 'noun', 'research']",40
ham,"['Going', 'dinnermsg']",31
ham,"['Im', 'ok', 'wif', 'cos', 'like', '2', 'try', 'new', 'things', 'scared', 'u', 'dun', 'like', 'mah', 'Cos', 'u', 'said', 'loud']",96
spam,"['GENT', 'trying', 'contact', 'Last', 'weekends', 'draw', 'shows', '£1000', 'prize', 'GUARANTEED', 'Call', '09064012160', 'Claim', 'Code', 'K52', 'Valid', '12hrs', '150ppm']",158
ham,"['Wa', 'ur', 'openin', 'sentence', 'formal', 'Anyway', 'im', 'fine', 'juz', 'tt', 'im', 'eatin', 'much', 'n', 'puttin', 'weightHaha', 'anythin', 'special', 'happened']",143
ham,"['entered', 'cabin', 'PA', 'said', 'Happy', 'Bday', 'Boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",156
spam,"['winner', 'U', 'specially', 'selected', '2', 'receive', '£1000', '4', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810910pmin', '18']",152
ham,"['Goodo', 'Yes', 'must', 'speak', 'friday', 'eggpotato', 'ratio', 'tortilla', 'needed']",72
ham,"['Hmmmy', 'uncle', 'informed', 'hes', 'paying', 'school', 'directly', 'pls', 'buy', 'food']",86
spam,"['PRIVATE', '2004', 'Account', 'Statement', '07742676969', 'shows', '786', 'unredeemed', 'Bonus', 'Points', 'claim', 'call', '08719180248', 'Identifier', 'Code', '45239', 'Expires']",144
spam,"['URGENT', 'Mobile', 'awarded', '£2000', 'Bonus', 'Caller', 'Prize', '5903', 'final', 'try', 'contact', 'U', 'Call', 'Landline', '09064019788', 'BOX42WR29C', '150PPM']",156
ham,"['new', 'address', 'applespairsall', 'malarky']",53
spam,"['Todays', 'Voda', 'numbers', 'ending', '7548', 'selected', 'receive', '350', 'award', 'match', 'please', 'call', '08712300220', 'quoting', 'claim', 'code', '4041', 'standard', 'rates', 'app']",156
ham,"['going', 'sao', 'mu', 'today', 'done', '12']",52
ham,"['Ü', 'predict', 'wat', 'time', 'üll', 'finish', 'buying']",38
ham,"['Good', 'stuff']",20
ham,"['knowyetunde', 'hasnt', 'sent', 'money', 'yet', 'sent', 'text', 'bother', 'sending', 'dont', 'involve', 'anything', 'shouldnt', 'imposed', 'anything', 'first', 'place', 'apologise']",244
ham,['room'],22
ham,"['HEY', 'GIRL', 'R', 'U', 'HOPE', 'U', 'R', 'WELL', 'DEL', 'R', 'BAK', 'LONG', 'TIME', 'C', 'GIVE', 'CALL', 'SUM', 'TIME', 'LUCYxx']",107
ham,"['Kkhow', 'much', 'cost']",28
ham,"['Im', 'home']",9
ham,"['Dear', 'call', 'Tmorrowpls', 'accomodate']",39
ham,"['First', 'answer', 'question']",25
spam,"['Sunshine', 'Quiz', 'Wkly', 'Q', 'Win', 'top', 'Sony', 'DVD', 'player', 'u', 'know', 'country', 'Algarve', 'Txt', 'ansr', '82277', '£150', 'SPTyrone']",125
spam,"['Want', '2', 'get', 'laid', 'tonight', 'Want', 'real', 'Dogging', 'locations', 'sent', 'direct', '2', 'ur', 'mob', 'Join', 'UKs', 'largest', 'Dogging', 'Network', 'bt', 'Txting', 'GRAVEL', '69888', 'Nt', 'ec2a', '31pmsg150p']",162
ham,"['haf', 'msn', 'yijuehotmailcom']",38
ham,"['call', 'meet']",34
ham,"['check', 'rooms', 'befor', 'activities']",46
spam,"['Youll', 'rcv', 'msgs', 'chat', 'svc', 'FREE', 'Hardcore', 'services', 'text', 'GO', '69988', 'u', 'get', 'nothing', 'u', 'must', 'Age', 'Verify', 'yr', 'network', 'try']",155
ham,"['Got', 'c', 'lazy', 'type', 'forgot', 'ü', 'lect', 'saw', 'pouch', 'like', 'v', 'nice']",85
ham,"['K', 'text', 'youre', 'way']",33
ham,"['Sir', 'Waiting', 'mail']",27
ham,"['swt', 'thought', 'Nver', 'get', 'tired', 'little', 'things', '4', 'lovable', 'persons', 'Cozsomtimes', 'little', 'things', 'occupy', 'biggest', 'part', 'Hearts', 'Gud', 'ni8']",156
ham,"['know', 'pls', 'open', 'back']",42
ham,"['Yes', 'see', 'ya', 'dot']",25
ham,"['Whats', 'staff', 'name', 'taking', 'class', 'us']",48
spam,"['FreeMsg', 'havent', 'replied', 'text', 'Im', 'Randy', 'sexy', 'female', 'live', 'local', 'Luv', 'hear', 'u', 'Netcollex', 'Ltd', '08700621170150p', 'per', 'msg', 'reply', 'Stop', 'end']",159
ham,"['Ummmawill', 'call', 'check', 'inour', 'life', 'begin', 'qatar', 'pls', 'pray', 'hard']",84
ham,"['Ki', 'deleted', 'contact']",33
ham,"['Sindu', 'got', 'job', 'birla', 'soft']",30
ham,"['wine', 'flowing', 'im', 'nevering']",45
ham,"['Yup', 'thk', 'cine', 'better', 'cos', 'need', '2', 'go', '2', 'plaza', 'mah']",59
ham,"['Ok', 'Ur', 'typical', 'reply']",25
ham,"['per', 'request', 'Melle', 'Melle', 'Oru', 'Minnaminunginte', 'Nurungu', 'Vettam', 'set', 'callertune', 'Callers', 'Press', '9', 'copy', 'friends', 'Callertune']",160
ham,"['everywhere', 'dirt', 'floor', 'windows', 'even', 'shirt', 'sometimes', 'open', 'mouth', 'comes', 'flowing', 'dream', 'world', 'without', 'half', 'chores', 'time', 'joy', 'lots', 'tv', 'shows', 'ill', 'see', 'guess', 'like', 'things', 'must', 'exist', 'like', 'rain', 'hail', 'mist', 'time', 'done', 'become', 'one']",384
ham,"['Aaooooright', 'work']",28
ham,"['Im', 'leaving', 'house']",27
ham,"['Hello', 'love', 'get', 'interview', 'today', 'happy', 'good', 'boy', 'think', 'meAre', 'missing']",157
spam,"['Customer', 'service', 'annoncement', 'New', 'Years', 'delivery', 'waiting', 'Please', 'call', '07046744435', 'arrange', 'delivery']",124
spam,"['winner', 'U', 'specially', 'selected', '2', 'receive', '£1000', 'cash', '4', 'holiday', 'flights', 'inc', 'speak', 'live', 'operator', '2', 'claim', '0871277810810']",145
ham,"['Keep', 'safe', 'need', 'miss', 'already', 'envy', 'everyone', 'sees', 'real', 'life']",115
ham,"['New', 'car', 'house', 'parentsi', 'new', 'job', 'hand']",64
ham,"['Im', 'love', 'Im', 'excited', 'day', 'spend', 'make', 'happy']",85
spam,"['PLS', 'STOP', 'bootydelious', '32F', 'inviting', 'friend', 'Reply', 'YES434', 'NO434', 'See', 'wwwSMSacubootydelious', 'STOP', 'Send', 'STOP', 'FRND', '62468']",152
spam,"['BangBabes', 'Ur', 'order', 'way', 'U', 'receive', 'Service', 'Msg', '2', 'download', 'UR', 'content', 'U', 'GoTo', 'wap', 'bangb', 'tv', 'UR', 'mobile', 'internetservice', 'menu']",155
ham,"['place', 'ur', 'points', 'e', 'cultures', 'module', 'already']",51
spam,"['URGENT', 'trying', 'contact', 'Last', 'weekends', 'draw', 'shows', '£900', 'prize', 'GUARANTEED', 'Call', '09061701939', 'Claim', 'code', 'S89', 'Valid', '12hrs']",156
ham,"['Hi', 'frnd', 'best', 'way', 'avoid', 'missunderstding', 'wit', 'beloved', 'ones']",74
ham,"['Great', 'escape', 'fancy', 'bridge', 'needs', 'lager', 'See', 'tomo']",67
ham,"['Yes', 'completely', 'formclark', 'also', 'utter', 'waste']",59
ham,"['Sir', 'need', 'AXIS', 'BANK', 'account', 'bank', 'address']",50
ham,"['Hmmm', 'Thk', 'sure', 'got', 'time', 'hop', 'ard', 'Ya', 'go', '4', 'free', 'abt', 'Muz', 'call', 'u', 'discuss', 'liao']",94
ham,"['time', 'coming', 'later']",33
ham,"['Bloody', 'hell', 'cant', 'believe', 'forgot', 'surname', 'Mr', 'Ill', 'give', 'u', 'clue', 'spanish', 'begins']",105
ham,"['Well', 'im', 'gonna', 'finish', 'bath', 'goodfine', 'night']",61
ham,"['Let', 'know', 'youve', 'got', 'money', 'carlos', 'make', 'call']",65
ham,"['U', 'still', 'going', 'mall']",26
ham,"['Turns', 'friends', 'staying', 'whole', 'show', 'wont', 'back', 'til', 'ltgt', 'feel', 'free', 'go', 'ahead', 'smoke', 'ltgt', 'worth']",146
ham,"['Text', 'doesnt', 'reply', 'let', 'know', 'log']",66
ham,"['Hi', 'spoke', 'MANEESHA', 'V', 'Wed', 'like', 'know', 'satisfied', 'experience', 'Reply', 'Toll', 'Free', 'Yes']",126
ham,"['lifted', 'hopes', 'offer', 'money', 'need', 'Especially', 'end', 'month', 'approaches', 'hurts', 'studying', 'Anyways', 'gr8', 'weekend']",159
ham,"['Lol', 'U', 'trust']",23
ham,"['ok', 'gentleman', 'treat', 'dignity', 'respect']",65
ham,"['guys', 'close']",24
ham,"['Going', 'nothing', 'greatbye']",26
ham,"['Hello', 'handsome', 'finding', 'job', 'lazy', 'Working', 'towards', 'getting', 'back', 'net', 'mummy', 'Wheres', 'boytoy', 'miss']",152
ham,"['Haha', 'awesome', 'minute']",34
spam,"['Please', 'call', 'customer', 'service', 'representative', 'FREEPHONE', '0808', '145', '4742', '9am11pm', 'guaranteed', '£1000', 'cash', '£5000', 'prize']",147
ham,"['got', 'Xmas', 'radio', 'times', 'get']",55
ham,"['jus', 'reached', 'home', 'go', 'bathe', 'first', 'sis', 'using', 'net', 'tell', 'u', 'finishes', 'k']",88
spam,"['unique', 'enough', 'Find', '30th', 'August', 'wwwareyouuniquecouk']",72
ham,"['Im', 'sorry', 'Ive', 'joined', 'league', 'people', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'times', 'even', 'great', 'personal', 'cost', 'great', 'week']",185
ham,"['Hi', 'finally', 'completed', 'course']",37
ham,"['stop', 'however', 'suggest', 'stays', 'someone', 'able', 'give', 'ors', 'every', 'stool']",111
ham,"['Hope', 'youve', 'settled', 'new', 'school', 'year', 'wishin', 'gr8', 'day']",92
ham,"['Gud', 'mrng', 'dear', 'hav', 'nice', 'day']",28
ham,"['u', 'got', 'persons', 'story']",28
ham,"['hamster', 'dead', 'Hey', 'tmr', 'meet', '1pm', 'orchard', 'mrt']",64
ham,"['Hi', 'Kate', 'evening', 'hope', 'see', 'tomorrow', 'bit', 'bloody', 'babyjontet', 'Txt', 'back', 'u', 'xxx']",131
ham,"['Found', 'ENC', 'ltgt']",40
ham,"['sent', 'ltgt', 'bucks']",28
ham,"['Hello', 'darlin', 'ive', 'finished', 'college', 'txt', 'u', 'finish', 'u', 'love', 'Kate', 'xxx']",84
ham,"['account', 'refilled', 'successfully', 'INR', 'ltDECIMALgt', 'KeralaCircle', 'prepaid', 'account', 'balance', 'Rs', 'ltDECIMALgt', 'Transaction', 'ID', 'KR', 'ltgt']",174
ham,"['Goodmorning', 'sleeping', 'ga']",24
ham,"['U', 'call', 'alter', '11', 'ok']",25
ham,"['Ü', 'say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'cannot', 'oredi', 'lar']",63
ham,"['entered', 'cabin', 'PA', 'said', 'Happy', 'Bday', 'Boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invited', 'apartment', 'went']",156
ham,"['Aight', 'yo', 'dats', 'straight', 'dogg']",28
ham,"['please', 'give', 'us', 'connection', 'today', 'ltDECIMALgt', 'refund', 'bill']",86
ham,"['shoot', 'big', 'loads', 'get', 'ready']",39
ham,"['Whats', 'bruv', 'hope', 'great', 'break', 'rewarding', 'semester']",73
ham,"['Home', 'always', 'chat']",26
ham,"['Kkgoodstudy', 'well']",23
ham,"['Yup', 'ü', 'noe', 'leh']",23
ham,"['Sounds', 'great', 'home']",31
ham,"['Finally', 'match', 'heading', 'towards', 'draw', 'prediction']",58
ham,"['Tired', 'havent', 'slept', 'well', 'past', 'nights']",48
ham,"['Easy', 'ahsen', 'got', 'selected', 'means', 'good']",41
ham,"['take', 'exam', 'march', '3']",32
ham,"['Yeah', 'think', 'use', 'gt', 'atm', 'register', 'sure', 'theres', 'anyway', 'help', 'let', 'know', 'sure', 'ready']",159
ham,"['Ok', 'prob', 'Take', 'ur', 'time']",25
ham,"['os', 'called', 'ubandu', 'run', 'without', 'installing', 'hard', 'diskyou', 'use', 'os', 'copy', 'important', 'files', 'system', 'give', 'repair', 'shop']",161
ham,"['Sorry', 'Ill', 'call', 'later']",22
ham,"['U', 'say', 'leh', 'course', 'nothing', 'happen', 'lar', 'say', 'v', 'romantic', 'jus', 'bit', 'lor', 'thk', 'e', 'nite', 'scenery', 'nice', 'leh']",119
spam,"['500', 'New', 'Mobiles', '2004', 'MUST', 'GO', 'Txt', 'NOKIA', '89545', 'collect', 'todayFrom', '£1', 'www4tcbiz', '2optout', '08718726270150gbpmtmsg18']",142
ham,"['Would', 'really', 'appreciate', 'call', 'need', 'someone', 'talk']",69
spam,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', '2', 'flyng', 'start', '2', 'find', 'free', 'txt', 'HORO', 'followed', 'ur', 'star', 'sign', 'e', 'g', 'HORO', 'ARIES']",137
ham,"['Hey', 'company', 'elama', 'po', 'mudyadhu']",30
ham,"['Life', 'strict', 'teacher', 'Bcoz', 'Teacher', 'teaches', 'lesson', 'amp', 'conducts', 'exam', 'Life', 'first', 'conducts', 'Exam', 'amp', 'teaches', 'Lessons', 'Happy', 'morning']",165
ham,"['Dear', 'good', 'morning']",34
ham,"['Get', 'gandhipuram', 'walk', 'cross', 'cut', 'road', 'Right', 'side', 'ltgt', 'street', 'road', 'turn', 'first', 'right']",109
ham,"['Dear', 'going', 'rubber', 'place']",37
ham,"['Sorry', 'battery', 'died', 'yeah', 'Im']",33
ham,"['Yeshere', 'tv', 'always', 'available', 'work', 'place']",48
spam,"['Text', 'meet', 'someone', 'sexy', 'today', 'U', 'find', 'date', 'even', 'flirt', 'U', 'Join', '4', '10p', 'REPLY', 'NAME', 'AGE', 'eg', 'Sam', '25', '18', 'msg', 'recdthirtyeight', 'pence']",157
ham,"['printed', 'oh', 'ltgt', 'come', 'upstairs']",50
ham,"['ill', 'little', 'closer', 'like', 'bus', 'stop', 'street']",65
ham,"['youwhen', 'wil', 'reach']",38
ham,"['New', 'Theory', 'Argument', 'wins', 'SITUATION', 'loses', 'PERSON', 'dont', 'argue', 'ur', 'friends', 'kick', 'amp', 'say', 'Im', 'always', 'correct']",145
spam,"['U', '447801259231', 'secret', 'admirer', 'looking', '2', 'make', 'contact', 'Ufind', 'Rreveal', 'thinks', 'UR', 'specialcall', '09058094597']",145
ham,"['Tomarrow', 'final', 'hearing', 'laptop', 'case', 'cant']",51
ham,"['PLEASSSSSSSEEEEEE', 'TEL', 'V', 'AVENT', 'DONE', 'SPORTSx']",45
ham,"['Okay', 'shining', 'meant', 'signing', 'sounds', 'better']",83
ham,"['Although', 'told', 'u', 'dat', 'im', 'baig', 'face', 'watches', 'really', 'like', 'e', 'watch', 'u', 'gave', 'cos', 'fr', 'u', 'Thanx', '4', 'everything', 'dat', 'uve', 'done', 'today', 'im', 'touched']",155
ham,"['U', 'dont', 'remember', 'old', 'commercial']",37
ham,"['late', 'said', 'website', 'didnt', 'dont', 'slippers']",78
